n_type_n,p_type_p,a,h,R,T_h,eta,mc_p,mDOS_p,tau_eff_p,n_i_p,eta_F_p,E_g_p,mDOS_min_p,kappa_L_300_p,Cp_p,rho_p,epsilon_p,mc_n,mDOS_n,tau_eff_n,n_i_n,eta_F_n,E_g_n,mDOS_min_n,kappa_L_300_n,Cp_n,rho_n,epsilon_n
11,12,1.0,2.0,0.011,811,5.569026015,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.33,0.92,19.5488751254293,5.36962171895081e+19,0.1,0.533872923626258,5.07,17.5,307.5,8450,48.659
11,12,1.0,2.0,0.011,760,4.890686829,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.33,0.92,19.5488751254293,5.36962171895081e+19,0.1,0.533872923626258,5.07,17.5,307.5,8450,48.659
11,12,1.0,2.0,0.011,690,3.960808172,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.33,0.92,19.5488751254293,5.36962171895081e+19,0.1,0.533872923626258,5.07,17.5,307.5,8450,48.659
11,12,1.0,2.0,0.168,811,1.324396208,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.33,0.92,19.5488751254293,5.36962171895081e+19,0.1,0.533872923626258,5.07,17.5,307.5,8450,48.659
11,12,1.0,2.0,0.168,760,1.112543616,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.33,0.92,19.5488751254293,5.36962171895081e+19,0.1,0.533872923626258,5.07,17.5,307.5,8450,48.659
11,12,1.0,2.0,0.168,690,0.847078399,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.33,0.92,19.5488751254293,5.36962171895081e+19,0.1,0.533872923626258,5.07,17.5,307.5,8450,48.659
11,12,1.0,2.0,3.329,811,0.076048779,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.33,0.92,19.5488751254293,5.36962171895081e+19,0.1,0.533872923626258,5.07,17.5,307.5,8450,48.659
11,12,1.0,2.0,3.329,760,0.063449079,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.33,0.92,19.5488751254293,5.36962171895081e+19,0.1,0.533872923626258,5.07,17.5,307.5,8450,48.659
11,12,1.0,2.0,3.329,690,0.047928877,1.05,5.07,8.73420827678707,5.15920462981963e+20,0.0799999999999999,0.533872923626258,0.92,17.5,307.5,8450,48.659,0.33,0.92,19.5488751254293,5.36962171895081e+19,0.1,0.533872923626258,5.07,17.5,307.5,8450,48.659
12,21,1.0,1.0,0.112,553,0.239450564,1.58,7.35,8.26222697258005,3.98468826614942e+20,-0.0,1.089,4.97,24.0,275.0,7420,19.09,0.33,0.92,5.88003758866827,1.56376108260058e+20,0.2,0.533872923626258,5.07,17.5,307.5,8450,48.659
