mc_n,mDOS_n,tau_eff_n,n_i_n,eta_F_n,E_g_n,mDOS_min_n,kappa_L_300_n,Cp_n,rho_n,epsilon_n,mc_p,mDOS_p,tau_eff_p,n_i_p,eta_F_p,E_g_p,mDOS_min_p,kappa_L_300_p,Cp_p,rho_p,epsilon_p,a,h,R,T_h,eta
0.33,0.92,28.39508839,5.37e+19,0.1,0.533872924,5.07,17.5,315,8450,48.659,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,1.0,2.0,0.011,811,5.569026015
0.33,0.92,28.39508839,5.37e+19,0.1,0.533872924,5.07,17.5,315,8450,48.659,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,1.0,2.0,0.011,760,4.890686829
0.33,0.92,28.39508839,5.37e+19,0.1,0.533872924,5.07,17.5,315,8450,48.659,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,1.0,2.0,0.011,690,3.960808172
0.33,0.92,28.39508839,5.37e+19,0.1,0.533872924,5.07,17.5,315,8450,48.659,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,1.0,2.0,0.168,811,1.324396208
0.33,0.92,28.39508839,5.37e+19,0.1,0.533872924,5.07,17.5,315,8450,48.659,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,1.0,2.0,0.168,760,1.112543616
0.33,0.92,28.39508839,5.37e+19,0.1,0.533872924,5.07,17.5,315,8450,48.659,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,1.0,2.0,0.168,690,0.847078399
0.33,0.92,28.39508839,5.37e+19,0.1,0.533872924,5.07,17.5,315,8450,48.659,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,1.0,2.0,3.329,811,0.076048779
0.33,0.92,28.39508839,5.37e+19,0.1,0.533872924,5.07,17.5,315,8450,48.659,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,1.0,2.0,3.329,760,0.063449079
0.33,0.92,28.39508839,5.37e+19,0.1,0.533872924,5.07,17.5,315,8450,48.659,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,1.0,2.0,3.329,690,0.047928877
0.33,0.92,10.15333342,1.56e+20,0.2,0.533872924,5.07,17.5,315,8450,48.659,1.58,7.35,8.323871701,3.98e+20,0.0,1.089,4.97,24.0,280,7420,19.09,1.0,1.0,0.112,553,0.239450564
0.33,0.92,10.15333342,1.56e+20,0.2,0.533872924,5.07,17.5,315,8450,48.659,1.58,7.35,8.323871701,3.98e+20,0.0,1.089,4.97,24.0,280,7420,19.09,1.0,1.0,0.112,657,0.409670829
0.33,0.92,10.15333342,1.56e+20,0.2,0.533872924,5.07,17.5,315,8450,48.659,1.58,7.35,8.323871701,3.98e+20,0.0,1.089,4.97,24.0,280,7420,19.09,1.0,1.0,0.112,785,0.668113372
0.33,0.92,10.15333342,1.56e+20,0.2,0.533872924,5.07,17.5,315,8450,48.659,1.58,7.35,8.323871701,3.98e+20,0.0,1.089,4.97,24.0,280,7420,19.09,1.0,1.0,0.149,553,0.195502526
0.33,0.92,10.15333342,1.56e+20,0.2,0.533872924,5.07,17.5,315,8450,48.659,1.58,7.35,8.323871701,3.98e+20,0.0,1.089,4.97,24.0,280,7420,19.09,1.0,1.0,0.149,657,0.3378358
0.33,0.92,10.15333342,1.56e+20,0.2,0.533872924,5.07,17.5,315,8450,48.659,1.58,7.35,8.323871701,3.98e+20,0.0,1.089,4.97,24.0,280,7420,19.09,1.0,1.0,0.149,785,0.557378709
0.33,0.92,10.15333342,1.56e+20,0.2,0.533872924,5.07,17.5,315,8450,48.659,1.58,7.35,8.323871701,3.98e+20,0.0,1.089,4.97,24.0,280,7420,19.09,1.0,1.0,3.333,553,0.011347658
0.33,0.92,10.15333342,1.56e+20,0.2,0.533872924,5.07,17.5,315,8450,48.659,1.58,7.35,8.323871701,3.98e+20,0.0,1.089,4.97,24.0,280,7420,19.09,1.0,1.0,3.333,657,0.020291953
0.33,0.92,10.15333342,1.56e+20,0.2,0.533872924,5.07,17.5,315,8450,48.659,1.58,7.35,8.323871701,3.98e+20,0.0,1.089,4.97,24.0,280,7420,19.09,1.0,1.0,3.333,785,0.034899181
1.42,4.31,23.98562434,4.58e+18,-0.1,1.1474,7.8,11.5,175,9540,17.51,0.39,1.79,5.061179894,4.7e+20,0.14,0.3059,3.45,2.4,280,6940,19.74,1.0,2.0,0.032,848,0.730990856
1.42,4.31,23.98562434,4.58e+18,-0.1,1.1474,7.8,11.5,175,9540,17.51,0.39,1.79,5.061179894,4.7e+20,0.14,0.3059,3.45,2.4,280,6940,19.74,1.0,2.0,0.032,754,0.580798946
1.42,4.31,23.98562434,4.58e+18,-0.1,1.1474,7.8,11.5,175,9540,17.51,0.39,1.79,5.061179894,4.7e+20,0.14,0.3059,3.45,2.4,280,6940,19.74,1.0,2.0,0.032,494,0.21468753
1.42,4.31,23.98562434,4.58e+18,-0.1,1.1474,7.8,11.5,175,9540,17.51,0.39,1.79,5.061179894,4.7e+20,0.14,0.3059,3.45,2.4,280,6940,19.74,1.0,2.0,0.117,848,1.908316729
1.42,4.31,23.98562434,4.58e+18,-0.1,1.1474,7.8,11.5,175,9540,17.51,0.39,1.79,5.061179894,4.7e+20,0.14,0.3059,3.45,2.4,280,6940,19.74,1.0,2.0,0.117,754,1.507113912
1.42,4.31,23.98562434,4.58e+18,-0.1,1.1474,7.8,11.5,175,9540,17.51,0.39,1.79,5.061179894,4.7e+20,0.14,0.3059,3.45,2.4,280,6940,19.74,1.0,2.0,0.117,494,0.538506191
